"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGDEBT","TOT","PC_GDP","A","2019",76.63305,
"AUT","GGDEBT","TOT","PC_GDP","A","2019",89.2981,
"BEL","GGDEBT","TOT","PC_GDP","A","2019",120.4191,
"CAN","GGDEBT","TOT","PC_GDP","A","2019",111.8826,
"CZE","GGDEBT","TOT","PC_GDP","A","2019",37.83284,
"DNK","GGDEBT","TOT","PC_GDP","A","2019",48.35806,
"FIN","GGDEBT","TOT","PC_GDP","A","2019",75.19491,
"FRA","GGDEBT","TOT","PC_GDP","A","2019",123.0546,
"DEU","GGDEBT","TOT","PC_GDP","A","2019",68.66587,
"GRC","GGDEBT","TOT","PC_GDP","A","2019",200.8453,
"HUN","GGDEBT","TOT","PC_GDP","A","2019",83.93861,
"IRL","GGDEBT","TOT","PC_GDP","A","2019",68.70069,
"ITA","GGDEBT","TOT","PC_GDP","A","2019",154.1801,
"JPN","GGDEBT","TOT","PC_GDP","A","2019",234.8006,
"KOR","GGDEBT","TOT","PC_GDP","A","2019",52.6506,
"LUX","GGDEBT","TOT","PC_GDP","A","2019",30.67719,
"MEX","GGDEBT","TOT","PC_GDP","A","2019",50.73558,
"NLD","GGDEBT","TOT","PC_GDP","A","2019",62.26208,
"NOR","GGDEBT","TOT","PC_GDP","A","2019",46.36831,
"POL","GGDEBT","TOT","PC_GDP","A","2019",63.60752,
"PRT","GGDEBT","TOT","PC_GDP","A","2019",135.6185,
"SVK","GGDEBT","TOT","PC_GDP","A","2019",62.92839,
"ESP","GGDEBT","TOT","PC_GDP","A","2019",120.4401,
"SWE","GGDEBT","TOT","PC_GDP","A","2019",56.57956,
"CHE","GGDEBT","TOT","PC_GDP","A","2019",40.06857,
"TUR","GGDEBT","TOT","PC_GDP","A","2019",35.14804,
"GBR","GGDEBT","TOT","PC_GDP","A","2019",120.1491,
"USA","GGDEBT","TOT","PC_GDP","A","2019",136.138,
"CHL","GGDEBT","TOT","PC_GDP","A","2019",38.72456,
"EST","GGDEBT","TOT","PC_GDP","A","2019",13.55965,
"ISR","GGDEBT","TOT","PC_GDP","A","2019",74.57744,
"SVN","GGDEBT","TOT","PC_GDP","A","2019",81.44735,
"LVA","GGDEBT","TOT","PC_GDP","A","2019",47.63047,
"COL","GGDEBT","TOT","PC_GDP","A","2019",82.85362,
"LTU","GGDEBT","TOT","PC_GDP","A","2019",44.48434,
"NZL","GGDEBT","TOT","PC_GDP","A","2019",34.15,
"BRA","GGDEBT","TOT","PC_GDP","A","2019",110.01,
"ROU","GGDEBT","TOT","PC_GDP","A","2019",44.27,
"ZAF","GGDEBT","TOT","PC_GDP","A","2019",68.57,
"OAVG","GGDEBT","TOT","PC_GDP","A","2019",78.59,
"OECD","GGDEBT","TOT","PC_GDP","A","2019",106.76,
